TF,median_LPS,median_NS,effect,U,p,FDR,sig
KLF3,1.391549834535382,2.1787835127871413,-0.7872336782517593,712.0,8.046145114536935e-33,1.6266449214237006e-32,***
PBX4,-1.1970517718794857,-2.0954833632871352,0.8984315914076495,13428.0,8.805156354840732e-33,1.772417249013199e-32,***
IRF1,9.71824317988633,1.220277886024903,8.497965293861427,13415.0,1.1797886350814097e-32,2.3646407406996495e-32,***
ATF2,1.3374374142191314,1.0807187495561799,0.25671866466295157,13391.0,2.0216942210552698e-32,4.034748723217141e-32,***
ZNF516,1.6529644342905527,4.618757028164547,-2.965792593873994,758.0,2.2611891523433518e-32,4.4935120601887034e-32,***
KLF13,-0.14704995165807822,2.8414572849785795,-2.9885072366366576,765.0,2.6444972047416654e-32,5.232966926332024e-32,***
ZNF691,1.6971008703345223,2.1749086647828584,-0.4778077944483361,799.0,5.644178233471031e-32,1.11216507807214e-31,***
PREB,1.7902563196866574,2.0591067480351133,-0.26885042834845585,866.0,2.484819405681492e-31,4.875675052324608e-31,***
NFIL3,-1.2640332470372768,-2.399182187051224,1.1351489400139472,13226.0,7.765712722388913e-31,1.5174007704416832e-30,***
BATF2,8.945108081129309,1.1762215366216855,7.768886544507623,13189.0,1.737052046310189e-30,3.380013773445243e-30,***
ZNF324B,0.12415202714574686,0.608833684377085,-0.4846816572313381,969.0,2.352686055785504e-30,4.55893936950967e-30,***
ZNF32,-0.6177906221312064,0.19220562637138133,-0.8099962485025878,972.0,2.510485195817248e-30,4.844613993581218e-30,***
ZNF785,3.774866490665609,4.6831973131440865,-0.9083308224784776,978.0,2.8582753166844864e-30,5.493064085973889e-30,***
NR1D1,1.4990736497750725,1.975969336998407,-0.47689568722333453,1010.0,5.697645424424971e-30,1.090491972625599e-29,***
CEBPE,-2.296230960053149,2.184953895941323,-4.4811848559944725,1032.0,9.136145888536544e-30,1.7414612775292107e-29,***
ZNF33B,-3.0178582530782085,-1.9325201387938336,-1.085338114284375,1049.0,1.3143810930677838e-29,2.4951868717994108e-29,***
NFX1,0.2041156275517973,1.6393754468107562,-1.435259819258959,1072.0,2.146503196880888e-29,4.058368392483298e-29,***
XBP1,0.4184755848813334,-0.7961190842481372,1.2145946691294705,13063.0,2.599350646597919e-29,4.894744967585597e-29,***
ZNF333,1.6671708419156237,2.184063223932033,-0.5168923820164093,1085.0,2.8299161291219234e-29,5.307513382730675e-29,***
HMGA1,1.2932600884426264,1.5327958564063962,-0.23953576796376974,1109.0,4.7066936228796166e-29,8.792103687539123e-29,***
ZNF341,3.7116817115072216,4.608135227847955,-0.896453516340733,1117.0,5.574028399153738e-29,1.0370801842250183e-28,***
JRK,3.696743875674085,5.56290725621635,-1.8661633805422655,1134.0,7.978751283907577e-29,1.4786019244384281e-28,***
ELK3,1.3136308463041262,0.7407493534585352,0.572881492845591,13009.0,8.148618098042195e-29,1.5041125105872354e-28,***
YBX3,1.235211896459594,0.7174102671677313,0.5178016292918627,12981.0,1.4677127147951994e-28,2.698511172477788e-28,***
ZNF296,1.2006430847764231,1.3250674116520544,-0.12442432687563132,1164.0,1.4988083305170127e-28,2.744876432750764e-28,***
TRAFD1,8.225339408239867,1.5941186083506345,6.631220799889232,12978.0,1.5629735576918762e-28,2.8512056696957273e-28,***
MXD4,3.1774919920474254,4.681278171369399,-1.503786179321974,1167.0,1.596070686546035e-28,2.9002529595992153e-28,***
ZNF599,2.367236167367932,4.144740475278116,-1.777504307910184,1181.0,2.13943801115661e-28,3.872548648101306e-28,***
PA2G4,2.690114144031031,4.497235470712667,-1.807121326681636,1216.0,4.437291010916266e-28,8.000829737829716e-28,***
ZNF831,0.4236466544830067,2.126418851669843,-1.7027721971868361,1222.0,5.026237794553275e-28,9.02789634637069e-28,***
TFCP2,1.2518646460367027,1.3453756610020804,-0.09351101496537773,1223.0,5.1316682906657e-28,9.181950543068513e-28,***
ZNF76,5.390496639211301,7.705685847780936,-2.3151892085696346,1270.0,1.3560581099729071e-27,2.4170959441120137e-27,***
GMEB2,4.25888217033327,4.80223026194417,-0.5433480916109001,1294.0,2.220677880038654e-27,3.94318087444126e-27,***
ARNT,3.211435387689556,4.914733311156233,-1.7032979234666774,1305.0,2.782095074040855e-27,4.921357574155603e-27,***
ZNF581,2.3885936514074553,3.1446311558637863,-0.756037504456331,1361.0,8.706788217750289e-27,1.534366074599768e-26,***
ZNF697,9.524760567533676,5.817641534877616,3.7071190326560597,12780.0,9.25268297734497e-27,1.624437199406053e-26,***
ZKSCAN5,-0.8298061482820845,-1.1117176726619373,0.2819115243798528,12710.0,3.7898356539880023e-26,6.628663859222461e-26,***
STAT6,3.620240008493588,3.8669969501694794,-0.24675694167589146,1460.0,6.370503103171631e-26,1.110083936261624e-25,***
ZNF446,3.2509105509369927,4.450142644639776,-1.1992320937027832,1465.0,7.037718640816919e-26,1.2172646686153707e-25,***
TCF3,2.0907117066999668,2.8574753759991585,-0.7667636692991917,1465.0,7.037718640816919e-26,1.2172646686153707e-25,***
